inst_id,prediction
0,0
1,1
2,0
3,1
4,0
5,1
6,1
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,1
15,0
16,1
17,0
18,0
19,0
20,1
21,1
22,1
23,1
24,0
25,1
26,1
27,0
28,0
29,0
30,1
31,1
32,0
33,1
34,1
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,0
47,1
48,0
49,0
50,0
51,1
52,0
53,0
54,1
55,1
56,0
57,1
58,1
59,1
60,1
61,0
62,1
63,0
64,0
65,0
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,1
76,1
77,1
78,1
79,0
80,0
81,1
82,0
83,0
84,1
85,0
86,1
87,0
88,0
89,1
90,0
91,0
92,0
93,0
94,1
95,0
96,1
97,0
98,0
99,1
100,1
101,0
102,0
103,1
104,0
105,0
106,0
107,1
108,1
109,0
110,1
111,1
112,0
113,1
114,1
115,1
116,0
117,1
118,0
119,0
120,1
121,0
122,1
123,1
124,0
125,1
126,0
127,0
128,1
129,1
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,1
139,0
140,1
141,1
142,1
143,1
144,0
145,0
146,0
147,1
148,0
149,0
150,1
151,0
152,1
153,0
154,1
155,1
156,0
157,0
158,1
159,0
160,0
161,1
162,1
163,1
164,0
165,0
166,0
167,1
168,0
169,0
170,1
171,0
172,0
173,0
174,1
175,1
176,1
177,1
178,0
179,0
180,1
181,0
182,1
183,0
184,0
185,1
186,0
187,0
188,0
189,1
190,0
191,0
192,0
193,0
194,1
195,0
196,0
197,0
198,0
199,1
200,0
201,1
202,0
203,1
204,0
205,1
206,0
207,1
208,0
209,0
210,0
211,0
212,0
213,1
214,1
215,0
216,0
217,1
218,1
219,1
220,0
221,0
222,0
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,1
231,0
232,1
233,1
234,0
235,0
236,1
237,1
238,1
239,0
240,0
241,0
242,1
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,0
251,1
252,1
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,1
261,1
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,1
270,0
271,0
272,1
273,1
274,0
275,0
276,1
277,0
278,0
279,0
280,1
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,1
289,1
290,1
291,1
292,1
293,0
294,1
295,0
296,1
297,1
298,0
299,0
300,1
301,1
302,1
303,0
304,0
305,0
306,1
307,1
308,0
309,1
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,1
318,0
319,0
320,1
321,0
322,0
323,0
324,0
325,1
326,1
327,0
328,0
329,0
330,1
331,1
332,0
333,1
334,0
335,1
336,0
337,0
338,0
339,0
340,1
341,1
342,0
343,1
344,0
345,1
346,1
347,0
348,1
349,0
350,0
351,1
352,1
353,0
354,0
355,1
356,0
357,1
358,0
359,0
360,1
361,1
362,0
363,1
364,1
365,1
366,0
367,0
368,0
369,1
370,0
371,1
372,0
373,1
374,0
375,0
376,1
377,1
378,0
379,0
380,1
381,0
382,0
383,1
384,1
385,1
386,0
387,0
388,1
389,1
390,0
391,1
392,0
393,1
394,0
395,0
396,0
397,0
398,1
399,0
400,0
401,1
402,0
403,0
404,1
405,0
406,0
407,1
408,0
409,1
410,0
411,0
412,0
413,1
414,0
415,0
416,1
417,1
418,1
419,1
420,0
421,0
422,1
423,1
424,0
425,0
426,1
427,0
428,1
429,0
430,1
431,1
432,0
433,1
434,0
435,0
436,1
437,1
438,1
439,1
440,1
441,1
442,1
443,1
444,0
445,0
446,1
447,1
448,1
449,1
450,1
451,1
452,0
453,1
454,0
455,0
456,1
457,0
458,1
459,0
460,1
461,1
462,0
463,0
464,0
465,0
466,1
467,0
468,0
469,1
470,0
471,1
472,1
473,0
474,1
475,1
476,1
477,0
478,0
479,1
480,1
481,0
482,0
483,0
484,1
485,1
486,0
487,1
488,0
489,1
490,1
491,1
492,1
493,0
494,0
495,0
496,0
497,1
498,0
499,1
500,1
501,1
502,1
503,1
504,1
505,1
506,0
507,0
508,0
509,0
510,0
511,1
512,0
513,1
514,0
515,1
516,1
517,0
518,0
519,0
520,0
521,1
522,1
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,1
531,0
532,1
533,0
534,0
535,0
536,0
537,1
538,0
539,1
540,0
541,0
542,0
543,0
544,0
545,0
546,1
547,0
548,1
549,0
550,1
551,1
552,0
553,0
554,0
555,0
556,0
557,1
558,0
559,0
560,0
561,1
562,0
563,1
564,1
565,0
566,0
567,1
568,0
569,0
570,1
571,1
572,0
573,0
574,1
575,1
576,0
577,1
578,1
579,1
580,1
581,0
582,0
583,1
584,0
585,1
586,1
587,0
588,1
589,0
590,0
591,1
592,1
593,1
594,0
595,1
596,0
597,1
598,1
599,0
600,0
601,1
602,1
603,0
604,0
605,1
606,0
607,1
608,0
609,0
610,1
611,1
612,0
613,1
614,0
615,0
616,0
617,1
618,1
619,1
620,0
621,1
622,1
623,1
624,0
625,0
626,0
627,0
628,0
629,0
630,1
631,1
632,0
633,0
634,0
635,0
636,0
637,1
638,1
639,1
640,1
641,1
642,0
643,1
644,0
645,1
646,1
647,0
648,0
649,1
650,0
651,0
652,1
653,0
654,1
655,0
656,0
657,1
658,0
659,1
660,0
661,0
662,1
663,0
664,0
665,1
666,0
667,1
668,1
669,0
670,0
671,1
672,0
673,1
674,1
675,1
676,1
677,0
678,0
679,0
680,1
681,1
682,1
683,0
684,1
685,1
686,0
687,0
688,0
689,1
690,0
691,1
692,0
693,0
694,1
695,1
696,0
697,1
698,0
699,1
700,1
701,1
702,1
703,0
704,0
705,0
706,0
707,1
708,0
709,1
710,0
711,0
712,1
713,1
714,0
715,0
716,0
717,1
718,1
719,0
720,0
721,1
722,0
723,1
724,0
725,0
726,0
727,0
728,1
729,0
730,1
731,1
732,1
733,0
734,0
735,0
736,0
737,1
738,0
739,0
740,0
741,1
742,1
743,1
744,1
745,0
746,0
747,0
748,0
749,0
750,1
751,0
752,0
753,0
754,1
755,1
756,1
757,0
758,1
759,1
760,0
761,1
762,1
763,0
764,1
765,1
766,0
767,1
768,0
769,1
770,1
771,1
772,1
773,0
774,1
775,1
776,1
777,0
778,0
779,0
780,0
781,0
782,0
783,1
784,1
785,0
786,1
787,0
788,1
789,1
790,1
791,0
792,0
793,1
794,0
795,0
796,1
797,1
798,0
799,0
800,1
801,1
802,1
803,0
804,0
805,1
806,0
807,1
808,1
809,0
810,1
811,0
812,0
813,0
814,0
815,0
816,1
817,0
818,1
819,1
820,0
821,1
822,1
823,1
824,1
825,1
826,1
827,0
828,1
829,0
830,0
831,0
832,1
833,1
834,1
835,1
836,0
837,0
838,1
839,1
840,0
841,0
842,0
843,0
844,0
845,1
846,0
847,0
848,0
849,1
850,1
851,0
852,1
853,1
854,1
855,0
856,1
857,0
858,1
859,0
860,0
861,0
862,1
863,1
864,0
865,0
866,1
867,1
868,1
869,1
870,0
871,0
872,0
873,0
874,0
875,1
876,1
877,0
878,1
879,0
880,0
881,0
882,1
883,0
884,0
885,0
886,1
887,0
888,1
889,1
890,1
891,1
892,0
893,0
894,0
895,0
896,1
897,1
898,1
899,1
900,0
901,0
902,1
903,0
904,1
905,1
906,0
907,0
908,1
909,0
910,0
911,0
912,0
913,1
914,0
915,0
916,1
917,1
918,1
919,0
920,1
921,0
922,0
923,1
924,1
925,0
926,1
927,1
928,0
929,0
930,1
931,0
932,1
933,0
934,0
935,0
936,1
937,0
938,1
939,0
940,0
941,1
942,1
943,0
944,0
945,0
946,0
947,0
948,1
949,0
950,0
951,0
952,0
953,1
954,1
955,0
956,1
957,0
958,0
959,1
960,1
961,1
962,0
963,0
964,1
965,1
966,0
967,1
968,0
969,0
970,1
971,0
972,0
973,0
974,0
975,1
976,0
977,1
978,0
979,1
980,1
981,1
982,1
983,0
984,0
985,0
986,0
987,1
988,1
989,0
990,0
991,1
992,1
993,1
994,0
995,1
996,1
997,1
998,0
999,1
1000,1
1001,0
1002,0
1003,1
1004,1
1005,0
1006,0
1007,0
1008,1
1009,0
1010,1
1011,0
1012,0
1013,1
1014,0
1015,1
1016,1
1017,0
1018,0
1019,1
1020,1
1021,1
1022,1
1023,0
1024,1
1025,0
1026,1
1027,1
1028,0
1029,0
1030,1
1031,0
1032,1
1033,0
1034,1
1035,0
1036,1
1037,1
1038,0
1039,1
1040,0
1041,1
1042,0
1043,1
1044,0
1045,1
1046,1
1047,0
1048,1
1049,1
1050,0
1051,0
1052,1
1053,0
1054,1
1055,0
1056,1
1057,0
1058,1
1059,1
